contigName	contigLen	totalAvgDepth	scaffolds.fasta/DRR310871_R1.fastq.gz.bam	scaffolds.fasta/DRR310871_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310872_R1.fastq.gz.bam	scaffolds.fasta/DRR310872_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310873_R1.fastq.gz.bam	scaffolds.fasta/DRR310873_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310874_R1.fastq.gz.bam	scaffolds.fasta/DRR310874_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310875_R1.fastq.gz.bam	scaffolds.fasta/DRR310875_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310876_R1.fastq.gz.bam	scaffolds.fasta/DRR310876_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310877_R1.fastq.gz.bam	scaffolds.fasta/DRR310877_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310878_R1.fastq.gz.bam	scaffolds.fasta/DRR310878_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310879_R1.fastq.gz.bam	scaffolds.fasta/DRR310879_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310880_R1.fastq.gz.bam	scaffolds.fasta/DRR310880_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310881_R1.fastq.gz.bam	scaffolds.fasta/DRR310881_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310882_R1.fastq.gz.bam	scaffolds.fasta/DRR310882_R1.fastq.gz.bam-var
NODE_18_length_28486_cov_15.331715	28486	5.7112	35.4037	203.0316	0.5695	2.5725	5.3784	31.2076	0.9902	5.2294	5.0807	25.6662	5.0743	18.5317	3.6111	15.7756	0.5764	8.0245	2.8875	13.0192	1.021	7.4706	2.3017	40.1805	5.6404	26.3744
NODE_19_length_27557_cov_7.229838	27557	13.3895	17.1745	42.4657	5.5958	13.6611	15.2198	41.3179	6.9202	22.5606	24.0321	102.3072	21.0404	65.1287	20.2492	64.239	3.2985	8.7708	21.1286	56.5766	11.3577	22.3286	4.8516	13.11	9.8051	23.4072
NODE_20_length_27099_cov_18.213245	27099	7.7635	46.6149	359.5885	0.8506	7.0078	5.7554	21.9616	1.8356	52.3213	6.6923	27.2647	6.3292	45.7798	4.9389	54.5591	0.7374	20.0323	4.4749	58.9852	2.2554	46.013	4.2186	160.7576	8.4586	68.4507
NODE_21_length_26283_cov_10.110416	26283	3.7936	27.0149	183.2849	0.5812	2.8317	5.727	14.4132	1.0517	5.7416	0.7531	9.7566	1.3194	6.4594	1.383	10.2357	0.6157	6.7246	1.6159	10.0703	1.2849	10.8405	2.732	55.8236	1.444	10.4714
NODE_22_length_25994_cov_21.585836	25994	6.5941	45.8818	239.9816	0.5588	2.9696	5.9463	30.5455	0.8133	14.4615	5.4586	26.6499	4.2785	28.8009	3.3951	20.1211	0.6477	33.1533	2.853	31.4647	0.9552	23.6139	1.7342	51.5081	6.6071	42.5779
NODE_23_length_25874_cov_19.060266	25874	7.3902	44.8949	271.136	0.8774	9.0919	6.7505	16.6111	0.9067	6.9482	6.5995	27.534	5.5957	18.5931	5.8821	29.0708	0.5231	6.1503	3.9792	19.2826	1.2914	14.1273	2.8412	66.8275	8.5408	51.3419
NODE_24_length_25638_cov_17.992104	25638	6.7348	41.0693	300.5455	0.6201	2.4428	7.3996	22.4007	1.0895	5.8881	5.3655	35.4605	4.4412	17.0538	4.272	33.381	0.7502	44.0777	3.254	15.4954	1.7944	21.3994	4.3095	106.3873	6.4528	41.7434
NODE_25_length_25570_cov_7.533020	25570	6.9021	13.9197	25.4661	4.3046	24.4061	6.217	44.6717	0.4456	2.8547	5.2756	34.232	9.0473	46.8948	9.4507	54.7672	8.3105	63.2133	13.5866	66.8059	10.2958	57.6463	0.3685	4.6615	1.6038	4.9943
NODE_26_length_25154_cov_19.305948	25154	5.844	39.5098	221.9253	0.5886	2.7221	7.5287	29.7109	0.8731	4.9834	5.3215	74.5032	3.4033	15.3513	2.7226	12.833	0.4348	5.0224	2.237	9.4223	0.9422	6.2615	1.938	33.2752	4.6279	33.4594
NODE_27_length_25006_cov_9.510400	25006	3.096	24.9615	158.2418	0.5605	2.4013	0.564	7.9262	1.1062	5.3446	0.5554	6.4967	1.2086	6.214	1.7074	9.4535	0.3987	4.7678	1.2891	7.6179	1.124	8.3663	2.3089	38.3806	1.3678	8.1422
NODE_28_length_24765_cov_7.424120	24765	1.3996	14.0308	24.4445	0.2426	0.8232	0.1817	1.3756	0.1909	0.5002	0.0704	0.4007	0.266	1.4121	0.6013	7.4117	0.1192	2.5284	0.3643	1.2821	0.1801	0.6341	0.3001	1.6515	0.2476	2.1805
NODE_29_length_24518_cov_16.275395	24518	5.0725	34.5966	156.8908	0.4684	1.7719	6.9991	31.3554	0.6601	3.5453	2.5766	16.0501	3.3924	11.3289	3.0185	12.1764	0.3496	3.4951	1.8314	7.6536	0.7713	6.0364	1.7992	27.665	4.4073	28.0821
NODE_30_length_24396_cov_13.193090	24396	3.7053	30.7927	237.4011	0.4662	1.7148	1.4845	12.3257	0.9139	5.2638	0.9525	14.6363	1.6771	9.0994	1.7025	12.1842	0.3457	3.3725	1.3249	8.0917	0.9675	7.8481	1.9561	33.1991	1.8802	13.8257
NODE_31_length_24251_cov_18.574186	24251	6.6012	41.6723	283.5562	0.6046	1.8885	6.5378	30.8268	0.9328	5.2525	5.5417	47.9	5.3211	19.2738	3.7858	16.3974	0.5915	5.3341	3.2239	12.856	1.2332	12.2347	2.3058	42.9236	7.4645	66.3397
NODE_32_length_23988_cov_19.321272	23988	6.3905	40.4693	240.1515	0.7001	2.9627	7.3806	19.8341	1.0428	5.7944	4.1647	23.0558	5.2319	20.7952	3.7882	16.7309	0.709	17.8679	3.4669	15.6165	1.2632	13.6582	2.5201	48.1395	5.9492	34.5327
NODE_33_length_23475_cov_17.596584	23475	6.0818	38.8087	166.7318	0.5892	2.4808	6.676	20.4126	0.8926	6.0532	6.2018	23.8651	4.1713	14.3507	3.9359	18.9126	0.3017	2.1513	2.3438	13.5379	1.1775	9.5042	2.5558	60.0809	5.3277	25.4645
NODE_34_length_23157_cov_6.029565	23157	11.995	15.4037	37.3364	5.4603	17.1823	11.4579	55.5249	6.1215	17.1561	21.4405	121.1774	17.9834	64.9032	18.966	70.0313	3.0313	20.0153	18.7852	56.8627	10.0106	22.2557	4.7827	16.7944	10.4973	30.6135
NODE_35_length_23005_cov_7.017996	23005	9.3525	13.2031	17.1982	6.1903	20.6769	7.6042	20.4542	0.4428	3.2898	8.3827	26.1908	11.4665	36.9168	12.9085	41.9757	13.6658	62.7514	19.5694	72.317	15.9199	56.5437	0.2876	1.2174	2.5889	6.2916
NODE_36_length_22896_cov_7.155816	22896	3.8527	13.0564	20.2304	2.272	19.5523	3.1085	20.4582	0.3018	1.7756	2.8988	23.438	4.5521	37.5832	2.6682	16.9765	3.2516	29.4871	7.5335	40.5064	5.1887	34.028	0.341	11.7324	1.0598	3.3664
NODE_37_length_21915_cov_15.239478	21915	5.5515	34.1026	267.4108	0.4994	1.958	7.3928	25.1261	0.8077	3.4862	4.6247	23.1363	3.9825	13.1616	3.4603	14.0975	0.4691	5.6686	2.3789	8.8899	0.9928	5.5201	2.0973	34.813	5.8096	25.9176
NODE_38_length_21762_cov_7.043350	21762	4.5139	13.2278	21.0854	2.385	10.4571	4.4089	31.9552	0.3407	1.7823	3.152	18.1735	5.1139	37.1213	4.6533	36.3407	4.4088	28.2527	8.3162	76.6977	6.6438	53.2825	0.266	3.021	1.2502	4.8538
NODE_39_length_21652_cov_19.090059	21652	6.8246	41.8759	214.2507	0.5424	1.8675	7.403	20.0039	0.8862	3.7589	5.9612	23.2289	6.098	14.7916	4.5407	16.0845	0.4522	4.4741	3.2592	10.3694	1.0444	6.7392	2.4803	59.358	7.3521	30.9453
NODE_40_length_21606_cov_18.429957	21606	6.1944	40.1811	208.5763	0.4643	1.5723	7.6697	25.3121	0.8558	4.1911	6.409	27.194	3.9407	11.6132	3.1056	12.9208	0.4133	2.5754	2.9764	11.9717	1.0576	9.2861	1.8779	24.4392	5.3809	36.4353
NODE_41_length_21543_cov_14.202625	21543	4.1396	31.4522	168.4763	0.4943	2.0447	5.1376	19.9203	0.7226	3.8401	4.5492	30.1796	1.0757	4.7318	0.8783	6.067	0.3532	3.0295	1.0708	7.5211	0.8912	7.4659	1.9072	35.1624	1.1433	7.2816
NODE_42_length_21217_cov_18.537615	21217	5.7611	37.9234	220.4656	0.4167	1.3202	6.4989	20.5934	0.7537	3.2393	5.3225	24.3932	4.0204	13.8503	3.4776	13.5979	0.6032	7.3637	2.4705	11.5161	0.8848	7.0378	1.5716	21.7771	5.1901	22.799
NODE_43_length_21142_cov_6.586475	21142	5.7883	12.416	20.6416	3.2439	13.2649	6.1344	26.1052	0.4713	6.0319	4.2659	29.0382	7.533	37.0082	7.3879	43.078	6.0816	36.7888	10.3579	55.4936	10.1899	68.567	0.2379	1.9895	1.1403	4.4133
NODE_44_length_20990_cov_10.918844	20990	3.3971	27.8357	127.8963	0.5572	2.3393	0.6669	13.679	1.0889	7.0043	0.695	8.0709	1.3621	8.7517	1.3909	9.1399	0.6	7.3919	1.2547	6.0653	1.236	8.6389	2.5094	39.1879	1.5681	14.5801
NODE_45_length_20910_cov_8.071254	20910	2.5006	19.8375	89.7955	0.5148	2.2835	0.4899	4.446	0.9213	4.8017	0.5513	9.0109	0.9572	5.2184	1.111	8.303	0.5325	11.3146	1.0165	7.6875	0.9766	9.6397	2.0584	38.5126	1.0401	6.8091
NODE_46_length_20820_cov_10.716205	20820	3.0542	26.7642	101.8744	0.4752	2.1352	0.5428	3.155	0.8922	4.1792	0.5947	12.346	0.9415	4.6745	1.0305	6.0417	0.5042	12.0102	1.038	5.7735	1.0309	7.892	1.7251	19.6589	1.1116	6.7759
NODE_47_length_20353_cov_19.794265	20353	6.9369	43.234	265.5048	0.7076	2.32	7.8858	23.4009	0.8462	4.2221	6.4734	30.7498	5.7541	17.0652	3.8787	12.4713	0.6495	9.3916	3.6737	12.6485	0.9582	7.4736	1.7942	25.4801	7.3871	31.1602
NODE_48_length_20353_cov_6.483644	20353	5.7826	12.7324	22.6277	2.6975	13.2153	8.1407	22.7026	0.3252	1.2538	3.7892	24.1342	5.8745	34.7196	6.6715	52.9337	4.6691	32.1362	13.8057	77.0455	9.0184	70.493	0.1448	0.5502	1.5228	4.783
NODE_49_length_20338_cov_6.788394	20338	5.4598	12.5583	13.7128	1.7712	5.6831	3.1713	23.3098	0.2673	1.2223	4.591	20.9401	7.1702	37.6722	7.9577	62.7318	7.3531	59.1558	9.5811	68.275	9.5581	82.8756	0.3302	3.5756	1.2082	3.3525
NODE_50_length_20140_cov_7.742345	20140	8.3712	14.7236	30.7573	5.3309	19.1088	7.5183	24.3734	0.4197	8.3212	7.8111	53.6033	10.1624	36.5278	10.8951	39.8831	10.0362	54.6989	15.806	49.0199	14.6331	67.4924	0.2595	2.0349	2.8587	5.6791
NODE_51_length_20055_cov_9.795250	20055	3.5088	25.5133	121.228	0.4498	1.6592	3.6732	20.4151	1.0017	4.6356	0.5393	6.9188	1.9675	8.7254	2.0917	11.5529	0.6711	72.7994	1.1695	7.9461	1.0561	9.6374	2.2402	38.1396	1.7319	12.5239
NODE_52_length_19942_cov_6.514608	19942	5.1761	12.3978	19.1588	3.5349	39.0024	3.6654	39.4777	0.6551	9.3767	3.5197	30.5268	6.6353	70.8735	5.5047	36.1649	7.5515	1206.9222	9.017	86.9471	7.7355	61.3169	0.2719	2.6113	1.6243	7.5465
NODE_53_length_19876_cov_6.851773	19876	7.8639	12.9727	18.6442	5.9877	26.5959	6.1279	26.3077	0.3264	2.3881	6.9089	30.9838	9.3399	44.5812	11.5124	54.4756	9.2245	53.751	15.0035	98.4725	14.3266	87.0269	0.3341	4.9963	2.3027	5.8434
NODE_54_length_19849_cov_16.395878	19849	5.3203	35.5258	241.173	0.5656	2.4685	7.6608	23.3255	0.7211	3.722	2.2782	13.329	3.5147	15.7145	3.0763	14.1162	0.185	1.4865	2.6749	12.382	0.8998	7.3965	1.9018	29.3912	4.8399	31.4342
NODE_55_length_19722_cov_18.510551	19722	6.4744	41.0512	253.672	0.6755	3.4158	7.6115	30.0118	0.8472	4.964	5.4213	27.2477	4.8479	15.3381	3.6627	12.7693	0.3713	4.6457	3.1496	10.5505	1.1117	7.3641	2.4508	48.8646	6.4915	30.5915
NODE_56_length_19694_cov_6.671012	19694	10.4324	13.4443	27.6468	7.7474	20.6462	8.6906	20.6721	0.4111	1.8916	9.4288	30.4379	14.9552	31.0815	14.3834	36.8431	13.5566	40.2635	20.3218	51.4582	19.3185	46.2259	0.2294	0.8244	2.7018	6.3313
NODE_57_length_19401_cov_7.459682	19401	3.6	13.3895	24.3279	2.262	10.6668	4.1451	30.2661	0.3362	5.1525	2.0923	14.7182	3.3671	33.082	3.2826	23.6976	3.1999	28.1346	5.812	60.1522	4.609	47.7685	0.2408	1.3331	0.4634	2.6005
NODE_58_length_19238_cov_11.145233	19238	3.4982	28.519	123.5093	0.4039	1.5234	0.5157	5.7825	0.8693	4.663	2.1834	14.7299	1.8097	6.3706	1.374	7.0786	0.4722	7.4179	1.247	6.4169	1.1675	6.8566	2.0142	26.2416	1.4023	6.8943
NODE_59_length_19042_cov_7.929952	19042	7.9751	14.9596	26.4177	5.4354	30.7867	6.9745	30.1586	0.4903	4.1043	6.301	19.8396	10.7923	62.27	10.3567	48.0471	10.9889	64.3568	14.1542	64.636	12.7503	52.6734	0.2517	1.2931	2.2465	5.1981
NODE_60_length_18828_cov_6.710009	18828	6.3443	12.4939	31.4583	4.2167	243.7953	7.1416	52.3372	0.6748	14.6019	6.35	242.8008	8.444	85.2129	6.4989	38.5594	8.5012	95.6296	10.5803	105.8218	8.523	58.3448	0.2803	2.5091	2.4268	11.0344
NODE_61_length_18811_cov_16.480113	18811	5.7349	36.9265	268.5283	0.5201	2.1551	6.8071	25.5466	0.909	3.9564	5.0905	44.7695	4.2364	17.6057	2.9789	11.4057	0.5502	8.9228	2.5389	10.5543	1.0254	7.5045	2.2087	30.7804	5.0273	34.7392
NODE_62_length_18806_cov_18.004106	18806	6.4767	40.3662	238.54	0.604	2.2329	7.9195	28.0373	0.9687	4.5841	5.5636	28.967	4.7597	18.8442	4.1564	15.0229	0.6177	49.6628	3.2101	12.7264	1.1406	7.4603	2.265	31.9813	6.1486	35.4384
NODE_63_length_18692_cov_8.034662	18692	8.0913	15.2904	32.5657	3.9017	23.6414	7.1922	17.7395	0.5652	5.0494	6.8736	25.1541	9.0333	32.1695	11.7128	56.0624	9.539	53.2354	15.3083	63.3332	14.9316	61.9221	0.3205	2.1777	2.4269	7.3529
NODE_64_length_18628_cov_9.430464	18628	3.6239	25.364	109.8388	0.5245	1.9297	2.1778	12.1866	1.196	6.766	0.914	6.2094	2.3133	9.7595	1.9515	10.9609	1.1514	334.4026	1.5444	8.0544	1.3507	8.5969	2.9818	53.5847	2.018	11.3228
NODE_65_length_18607_cov_6.567432	18607	8.0168	13.0177	23.702	4.6247	13.7669	8.1345	29.2963	0.3135	1.27	5.9408	34.8362	9.7713	40.7917	10.6784	47.8022	9.9531	46.7904	17.0268	54.0941	14.4456	53.7386	0.2114	1.0632	2.0838	4.4855
NODE_66_length_18359_cov_17.029174	18359	4.7146	32.9287	295.8617	0.3743	1.4762	3.1296	32.0903	0.787	3.8954	3.8396	13.4165	3.637	15.9113	2.7723	9.2368	0.3804	5.4913	1.984	7.3911	0.786	4.1475	1.755	23.7124	4.2012	23.2822
NODE_67_length_18289_cov_11.159044	18289	4.3841	30.2291	147.3676	0.5612	2.1135	2.7781	18.7451	1.1491	6.5283	0.9427	5.6254	3.2701	11.2203	2.5885	14.1136	0.4827	4.1885	2.4404	12.8913	1.2319	15.2934	2.6427	47.1981	4.2925	25.5457
NODE_68_length_18257_cov_16.272333	18257	4.948	35.7133	218.8859	0.3874	1.4238	5.3991	29.5942	0.761	4.1626	2.7598	17.3437	2.619	11.6852	2.7917	17.2909	0.4234	4.9455	1.9545	8.9683	0.9263	9.2672	1.7553	45.222	3.8849	34.0096
NODE_69_length_18076_cov_11.805061	18076	4.0423	29.9425	147.3492	0.5065	1.9497	2.3364	16.1365	1.0655	6.2644	0.7258	8.1689	3.5923	10.2646	2.3844	10.0561	0.4958	9.6532	1.403	8.231	1.0209	7.2245	2.3873	56.758	2.6469	15.5893
NODE_70_length_18065_cov_11.768684	18065	4.4333	30.3398	153.5257	0.4754	1.6128	5.9131	18.5679	0.8138	3.9129	1.9713	18.5175	2.3954	10.6743	1.9945	9.6183	0.5935	60.4377	2.0575	7.9003	0.9152	6.6015	2.2252	40.138	3.5054	24.0582
NODE_71_length_18010_cov_6.732052	18010	10.2848	15.6815	48.3949	3.289	11.9804	7.6722	37.2492	5.343	12.8896	21.0569	104.2388	15.573	64.6734	13.1793	47.3004	2.282	6.7146	16.4993	60.8222	10.3666	27.8001	4.0814	11.3694	8.394	29.866
NODE_72_length_17948_cov_18.003074	17948	5.9195	40.2123	226.7497	0.5436	1.8606	8.585	21.1952	0.6699	3.1264	4.8735	26.4913	2.8059	11.8799	2.7955	15.0312	0.3372	1.9056	2.9934	13.2861	0.9939	8.7305	2.2049	43.3487	4.0197	29.0215
NODE_73_length_17843_cov_16.197718	17843	5.3257	34.8267	180.9681	0.5336	1.9412	5.4247	19.3914	0.7917	4.226	7.19	31.1677	3.3743	14.1091	2.7438	11.9166	0.3972	5.731	1.9635	10.155	0.9049	7.8326	1.8408	31.7959	3.9171	20.5088
NODE_74_length_17390_cov_6.679089	17390	4.1686	12.4057	24.8554	2.3478	14.574	2.8075	22.0021	0.2782	1.2113	3.0319	23.0532	4.0994	34.6335	4.6579	48.5874	5.8813	90.2508	8.8088	94.8444	4.5822	46.3169	0.2724	3.9371	0.8501	4.1659
NODE_75_length_17143_cov_6.175211	17143	12.0479	12.7806	18.4935	1.1474	37.1862	31.3437	126.227	0.3492	1.1676	4.9674	29.0686	29.2941	85.7433	17.039	38.9531	18.3476	50.6379	24.9677	62.6972	3.6576	13.5975	0.2402	0.7948	0.4399	1.5398
NODE_76_length_17128_cov_17.648861	17128	5.3142	37.3304	163.5876	0.4544	1.4444	8.3507	23.3398	0.6854	2.8756	3.0227	65.6229	2.752	8.5239	2.3323	10.6652	0.4506	6.751	1.5121	6.0862	0.967	9.1118	1.9542	33.9732	3.9587	20.1656
NODE_77_length_17106_cov_27.452349	17106	5.2149	55.848	212.1016	0.4323	2.5349	0.3922	5.6971	0.6018	3.4348	0.403	8.6905	0.6594	3.7697	0.8453	5.3394	0.2693	3.0134	0.8593	6.4964	0.5804	4.0676	1.0746	20.235	0.6138	3.6861
NODE_78_length_16963_cov_17.570677	16963	5.6397	37.1742	179.9328	0.4746	1.5277	7.3446	28.2359	0.7834	4.0386	5.0277	42.6548	3.0655	12.8272	3.1545	16.1793	0.4137	4.0435	2.2431	9.7869	1.1417	10.599	2.0084	29.3162	4.8446	30.4753
NODE_79_length_16702_cov_19.273082	16702	5.0447	38.9467	126.6235	0.5361	1.7185	6.6645	23.3361	0.726	3.6737	7.5308	32.4254	0.7943	3.6705	0.8065	5.1487	0.453	6.1578	0.7939	3.6064	0.6837	3.8738	1.592	21.3621	1.0089	11.4361
NODE_80_length_16659_cov_9.195495	16659	3.1143	24.1445	123.7313	0.6593	2.3097	0.6032	4.564	1.1801	5.8576	0.6327	7.8585	1.1743	5.6163	1.4857	9.9014	0.325	3.4579	1.3929	8.3585	1.2823	10.0403	2.9185	47.3909	1.573	11.6807
NODE_81_length_16440_cov_6.354715	16440	6.1116	12.3136	17.9566	1.8395	10.3914	9.6896	98.0382	0.367	2.2602	4.9756	29.2533	6.1314	31.6527	6.8123	36.1447	10.1996	51.3587	10.2179	76.0854	8.9657	56.4771	0.357	4.4835	1.47	5.4859
NODE_82_length_16302_cov_12.483905	16302	3.3315	28.0971	111.9718	0.4447	1.9785	1.4952	9.4009	0.7883	3.3467	0.9116	6.6318	1.1352	4.1293	1.3289	9.162	0.5431	6.6381	0.9917	5.877	0.9029	5.356	1.688	20.0234	1.6516	10.6027
NODE_83_length_16260_cov_19.525517	16260	6.4458	43.0243	206.7845	0.5929	2.2948	6.9528	15.6915	0.8195	4.7464	5.5117	15.7066	4.1124	11.9172	3.5326	13.6423	0.4997	5.6789	2.6402	10.3627	1.0134	8.6632	2.1209	32.1043	6.5291	36.1254
NODE_84_length_16250_cov_7.539734	16250	5.685	14.4847	30.7108	3.7262	30.3159	4.3546	30.1591	0.3848	3.6389	5.724	42.3888	7.1929	66.8488	5.4334	35.8988	6.6424	67.7035	9.8025	78.3129	8.9617	51.9792	0.1474	0.4481	1.3654	3.6471
NODE_85_length_16117_cov_19.693811	16117	6.4251	42.8585	291.1497	0.5788	2.4275	7.0194	25.4411	0.8223	4.8435	3.9514	18.8268	5.1167	17.4957	3.5633	15.5708	0.5835	15.5527	2.5081	9.3646	0.9691	6.9622	1.8345	28.1302	7.2956	37.5001
NODE_86_length_16115_cov_16.720112	16115	5.8075	37.3583	181.6799	0.4197	1.2679	6.2991	18.8906	0.7139	4.0476	6.6933	29.2787	4.056	13.5495	3.8793	17.0427	0.5976	3.6717	3.0136	9.2572	0.706	4.1058	1.3205	15.4478	4.6331	23.3674
