,contigName,contigLen,totalAvgDepth,scaffolds.fasta/DRR310871_R1.fastq.gz.bam,scaffolds.fasta/DRR310872_R1.fastq.gz.bam,scaffolds.fasta/DRR310873_R1.fastq.gz.bam,scaffolds.fasta/DRR310874_R1.fastq.gz.bam,scaffolds.fasta/DRR310875_R1.fastq.gz.bam,scaffolds.fasta/DRR310876_R1.fastq.gz.bam,scaffolds.fasta/DRR310877_R1.fastq.gz.bam,scaffolds.fasta/DRR310878_R1.fastq.gz.bam,scaffolds.fasta/DRR310879_R1.fastq.gz.bam,scaffolds.fasta/DRR310880_R1.fastq.gz.bam,scaffolds.fasta/DRR310881_R1.fastq.gz.bam,scaffolds.fasta/DRR310882_R1.fastq.gz.bam
87,NODE_88_length_13693_cov_5.630811,13693,1.4846,0.4867,0.3791,0.2652,0.4147,0.2155,0.5657,0.5306,0.1945,0.7676,2.3765,0.9787,10.6406
89,NODE_90_length_13525_cov_5.984039,13525,1.5683,0.3344,0.3217,0.5375,0.646,0.4224,0.4934,0.5071,0.198,0.8726,2.7524,0.8239,10.9103
102,NODE_103_length_12506_cov_6.051000,12506,1.4652,0.3198,0.3279,0.3831,0.4916,0.201,0.3847,0.3457,0.5046,0.7256,1.5906,0.9479,11.3605
108,NODE_109_length_11883_cov_6.227511,11883,1.6891,0.4756,0.3093,0.8935,0.4256,0.3523,0.5515,0.5366,0.5756,0.7833,3.0977,1.2094,11.0591
113,NODE_114_length_11709_cov_11.709456,11709,1.9812,0.218,0.3371,0.1487,0.4376,0.2733,0.3978,0.3735,0.4961,0.36,0.3249,0.7356,19.6721
114,NODE_115_length_11680_cov_6.870194,11680,1.7498,0.4703,0.2357,0.72,0.4779,0.1663,0.554,0.4464,0.1774,0.9749,3.1604,1.1067,12.508
119,NODE_120_length_11289_cov_5.253427,11289,1.4712,0.4218,0.2722,0.5483,0.4676,0.3333,0.5088,0.5175,0.2806,0.7274,2.5521,0.9525,10.0724
125,NODE_126_length_10858_cov_6.202351,10858,1.6569,0.4251,0.3631,0.7522,0.466,0.2378,0.6088,0.4839,0.2814,0.9754,2.6026,0.8151,11.8709
126,NODE_127_length_10832_cov_6.025239,10832,1.2488,0.3312,0.187,0.766,0.3495,0.0843,0.5648,0.2876,0.1079,0.3633,0.2999,0.6143,11.0292
127,NODE_128_length_10794_cov_5.539343,10794,1.4583,0.3442,0.2543,0.4214,0.5177,0.3566,0.5203,0.4739,0.4418,0.7036,2.103,0.7637,10.5986
128,NODE_129_length_10784_cov_5.853854,10784,1.5942,0.5374,0.2739,0.7204,0.4534,0.2848,0.5934,0.5531,0.4629,0.7925,1.7781,1.162,11.5181
130,NODE_131_length_10703_cov_5.172239,10703,1.546,0.7365,0.3788,0.6656,0.67,0.2074,0.6112,0.7213,0.2528,0.832,1.3297,1.216,10.9306
131,NODE_132_length_10702_cov_6.868977,10702,1.6579,0.347,0.3074,0.8871,0.387,0.2748,0.486,0.5108,0.2089,0.7925,1.8947,0.8664,12.9323
132,NODE_133_length_10670_cov_8.807442,10670,2.1127,0.6929,0.325,1.7964,0.5641,0.171,0.9846,0.6655,0.2181,0.874,1.9497,1.7104,15.4006
133,NODE_134_length_10658_cov_6.683486,10658,1.6083,0.5697,0.2705,0.4774,0.5055,0.7554,0.545,0.5769,0.1735,0.7437,1.2306,0.7926,12.6592
136,NODE_137_length_10565_cov_6.350238,10565,1.5201,0.3587,0.2936,0.5816,0.4136,0.2987,0.527,0.3568,0.1912,0.5677,2.1309,1.0426,11.4783
137,NODE_138_length_10517_cov_7.554196,10517,1.8321,0.7291,0.3069,1.6448,0.4919,0.1385,0.6733,0.5307,0.2069,0.718,1.3235,1.1181,14.1029
138,NODE_139_length_10471_cov_6.067012,10471,1.4345,0.3666,0.353,0.202,0.3913,0.2853,0.5009,0.4315,0.2496,0.6034,1.668,0.8507,11.3119
139,NODE_140_length_10462_cov_4.785625,10462,1.4709,0.4525,0.4184,0.7629,0.5902,0.5481,0.6855,0.6023,0.2857,0.7303,2.8257,0.8835,8.8653
142,NODE_143_length_10368_cov_7.389799,10368,1.6997,0.4008,0.2248,0.6046,0.4094,0.129,0.5603,0.4649,0.0797,0.6842,2.6739,1.0463,13.1185
143,NODE_144_length_10265_cov_7.401077,10265,1.7654,0.5181,0.2258,0.5275,0.455,0.2718,0.6479,0.5314,0.2159,0.506,2.7366,0.7874,13.7608
145,NODE_146_length_10232_cov_6.556746,10232,1.3358,0.2226,0.299,0.1977,0.3813,0.1377,0.5316,0.4281,0.2349,0.5469,0.5564,0.8285,11.6645
146,NODE_147_length_10150_cov_6.901040,10150,1.7015,0.4684,0.2886,1.0148,0.3073,0.2496,0.5278,0.3516,0.2435,0.7209,2.8852,0.725,12.6355
147,NODE_148_length_10147_cov_6.444610,10147,1.6952,0.3563,0.2262,0.3932,0.4807,0.2327,0.5677,0.5539,0.1236,0.9417,3.3966,0.8343,12.2361
150,NODE_151_length_10066_cov_6.533114,10066,1.6673,0.4644,0.3375,0.4387,0.4236,0.3717,0.5103,0.5216,0.3113,0.7617,2.5172,1.297,12.0521
152,NODE_153_length_9909_cov_10.409377,9909,2.2709,0.6489,0.3692,1.5991,0.2632,0.1826,0.5676,0.3832,0.3509,0.5188,2.5092,0.7731,19.0852
154,NODE_155_length_9837_cov_6.557964,9837,1.5584,0.4312,0.3167,0.1506,0.435,0.5625,0.4222,0.449,0.2323,0.6143,2.3832,0.661,12.0434
158,NODE_159_length_9766_cov_5.980846,9766,1.7477,0.4585,0.3107,1.4584,0.5088,0.202,0.7224,0.4586,0.2593,0.9933,2.7127,1.3851,11.503
163,NODE_164_length_9553_cov_6.379343,9553,1.7969,0.6198,0.3513,0.9116,0.527,0.4428,0.5525,0.6952,0.2872,1.1176,2.2282,1.3818,12.4483
170,NODE_171_length_9260_cov_6.990331,9260,1.7516,0.5845,0.3267,0.6153,0.3212,0.3087,0.5162,0.5304,0.1169,0.6543,2.6984,1.2037,13.1432
174,NODE_175_length_8878_cov_6.606143,8878,1.7234,0.4397,0.2933,0.9574,0.4898,0.218,0.4427,0.3889,0.0831,1.1541,3.3476,0.5645,12.3014
175,NODE_176_length_8871_cov_4.933190,8871,1.4385,0.673,0.334,0.7383,0.5091,0.5488,0.6041,0.6505,0.1319,0.7836,1.2391,1.0143,10.0351
176,NODE_177_length_8800_cov_5.529560,8800,1.6446,0.4747,0.3038,0.8898,0.5111,0.2009,0.6143,0.4971,0.5375,0.6665,2.9642,1.3869,10.6881
177,NODE_178_length_8764_cov_5.960156,8764,1.7324,0.4539,0.3812,1.0337,0.6884,0.3548,0.6445,0.5301,0.3191,0.7891,3.2755,1.0107,11.3074
180,NODE_181_length_8710_cov_5.350664,8710,1.6401,0.5035,0.3737,0.4514,0.5542,0.1541,0.5655,0.8482,0.2,1.1616,3.1119,1.0996,10.6577
182,NODE_183_length_8682_cov_5.880839,8682,1.7853,0.59,0.3181,0.7015,0.5985,1.0813,0.604,0.5947,0.2794,1.1188,2.9742,1.0557,11.5075
184,NODE_185_length_8623_cov_5.486111,8623,1.426,0.4394,0.4244,0.2868,0.5835,0.2801,0.5997,0.5387,0.2861,0.843,1.7786,1.0575,9.9948
188,NODE_189_length_8444_cov_5.529145,8444,1.2039,0.288,0.1827,0.2483,0.282,0.2603,0.4055,0.3656,0.2725,0.416,0.4008,0.6094,10.7161
190,NODE_191_length_8350_cov_6.378180,8350,1.671,0.387,0.3348,1.2767,0.5389,0.282,0.7017,0.5713,0.3262,0.8191,1.9893,1.3216,11.503
191,NODE_192_length_8323_cov_5.640905,8323,1.4494,0.5023,0.3948,0.403,0.4281,0.1575,0.5089,0.4109,0.2828,0.7027,1.9139,1.1003,10.5883
192,NODE_193_length_8316_cov_5.177702,8316,1.3536,0.608,0.2755,0.3719,0.3241,0.1605,0.4968,0.4435,0.1345,0.6843,1.7884,0.781,10.1746
195,NODE_196_length_8219_cov_7.664625,8219,1.9399,0.5091,0.2895,0.6526,0.7184,0.2099,0.7518,0.5152,0.2755,1.1362,3.6,1.0083,13.6123
196,NODE_197_length_8212_cov_6.270320,8212,1.4505,0.4095,0.2457,0.2746,0.3452,0.2434,0.451,0.415,0.2038,0.5902,2.143,0.9286,11.1557
197,NODE_198_length_8185_cov_5.635301,8185,1.557,0.4938,0.2704,0.7553,0.578,0.2629,0.4885,0.6516,0.1984,0.6228,2.6723,0.9974,10.6931
198,NODE_199_length_8147_cov_4.969105,8147,1.5072,0.4497,0.3227,0.4671,0.6149,0.4182,0.7487,0.5505,0.2826,1.0226,2.1707,1.0959,9.9432
204,NODE_205_length_8082_cov_5.389311,8082,1.5741,0.7644,0.4261,0.9704,0.6795,0.3728,0.7341,0.737,0.3778,0.6696,2.1432,1.2025,9.8119
207,NODE_208_length_7970_cov_7.740493,7970,1.9489,0.444,0.2784,1.2325,0.445,0.2613,0.8694,0.4643,0.254,0.6831,3.2249,1.1009,14.1295
209,NODE_210_length_7951_cov_5.801292,7951,1.6194,0.4875,0.3423,0.5176,0.5143,0.3094,0.5715,0.5076,0.235,0.9127,3.1137,0.8262,11.0945
211,NODE_212_length_7935_cov_7.999365,7935,2.3147,0.6741,0.4325,2.3123,0.6989,0.3136,1.0667,0.7089,0.334,1.0342,3.3845,1.4608,15.3556
215,NODE_216_length_7889_cov_6.840950,7889,1.5258,0.3615,0.2683,0.2894,0.4396,0.184,0.4377,0.3834,0.3034,0.8314,1.8138,0.6783,12.3193
218,NODE_219_length_7814_cov_6.583194,7814,1.9181,0.4181,0.3535,1.3032,0.4958,0.4383,0.6554,0.5145,0.2234,1.0765,3.7938,1.4261,12.3192
219,NODE_220_length_7814_cov_5.801392,7814,1.4656,0.4154,0.3154,0.354,0.4147,0.3497,0.5763,0.4464,0.1493,0.5369,2.4177,1.0442,10.5669
220,NODE_221_length_7799_cov_6.459711,7799,1.6726,0.4686,0.2914,0.917,0.5245,0.4526,0.6078,0.5067,0.2199,0.5988,2.1238,1.1352,12.2247
222,NODE_223_length_7785_cov_6.506727,7785,1.841,0.5618,0.3298,1.1636,0.4622,0.3919,0.5996,0.6013,0.1661,0.9691,3.0437,1.3302,12.4723
225,NODE_226_length_7723_cov_4.739306,7723,1.5876,0.5611,0.4837,0.5493,0.6794,0.3802,0.5905,0.731,0.1434,1.2992,2.6135,1.2048,9.8153
226,NODE_227_length_7718_cov_5.820044,7718,1.4997,0.446,0.2049,0.3961,0.5854,0.2923,0.6276,0.5096,0.1936,0.5277,2.3085,0.8535,11.0511
227,NODE_228_length_7705_cov_5.812680,7705,1.4368,0.4188,0.3837,0.3477,0.4023,0.1827,0.4883,0.442,0.152,0.533,2.0461,0.6026,11.2426
228,NODE_229_length_7694_cov_6.738840,7694,1.6663,0.5992,0.3347,0.2378,0.492,0.1682,0.5091,0.548,0.2554,0.9441,2.3067,0.7154,12.8845
229,NODE_230_length_7688_cov_5.380715,7688,1.5624,0.5011,0.3416,0.4384,0.572,0.4066,0.78,0.6526,0.2215,0.7259,3.0105,1.0187,10.08
231,NODE_232_length_7652_cov_5.060419,7652,1.5366,0.4108,0.3959,1.1609,0.6064,0.3148,0.7434,0.5065,0.1549,0.7031,2.677,0.9429,9.8223
232,NODE_233_length_7645_cov_5.681159,7645,1.5426,0.4148,0.257,0.7972,0.5129,0.2072,0.414,0.4237,0.1967,0.8951,2.4294,0.7788,11.1845
239,NODE_240_length_7477_cov_6.266774,7477,1.6607,0.3364,0.3838,0.6323,0.5395,0.342,0.5751,0.5308,0.3229,0.6817,3.1474,0.843,11.5931
243,NODE_244_length_7429_cov_5.237185,7429,1.5779,0.5131,0.3443,0.688,0.6637,0.4054,0.5939,0.6445,0.2562,0.8589,2.8004,0.9854,10.1808
244,NODE_245_length_7411_cov_5.263322,7411,1.4127,0.6047,0.3889,1.0134,0.5525,0.1548,0.5003,0.4594,0.2921,0.5393,0.9384,0.9687,10.5395
245,NODE_246_length_7389_cov_6.120671,7389,1.623,0.61,0.4179,0.2277,0.5425,0.3665,0.5224,0.4361,0.1105,1.0104,2.2945,0.8784,12.0597
246,NODE_247_length_7386_cov_6.216887,7386,1.7846,0.7808,0.4277,0.7441,0.7293,0.2776,0.682,0.6298,0.2394,0.7705,3.1347,1.3148,11.6844
247,NODE_248_length_7374_cov_5.407159,7374,1.2625,0.2046,0.2136,0.1467,0.3455,0.1808,0.2958,0.3343,0.1233,0.3883,2.0004,0.5357,10.3808
248,NODE_249_length_7335_cov_5.455907,7335,1.5152,0.5511,0.3784,0.3876,0.764,0.2946,0.6388,0.6213,0.3541,0.8402,1.8239,0.7741,10.7543
249,NODE_250_length_7319_cov_7.215308,7319,1.8985,0.3825,0.4493,0.8254,0.5826,0.3913,0.7174,0.5794,0.356,0.763,2.8224,0.8777,14.0349
251,NODE_252_length_7291_cov_5.572968,7291,1.4285,0.2881,0.1739,0.3446,0.4511,0.2522,0.4428,0.462,0.3477,0.8541,2.4847,0.9508,10.0902
253,NODE_254_length_7230_cov_6.551916,7230,1.7154,0.635,0.2794,1.0489,0.4124,0.3198,0.4251,0.414,0.215,0.841,2.928,0.7677,12.2987
254,NODE_255_length_7211_cov_6.471772,7211,1.8853,0.6636,0.2568,1.5386,0.6149,0.2927,0.5709,0.5553,0.2189,0.8534,3.1871,1.7468,12.1239
258,NODE_259_length_7165_cov_8.718143,7165,1.8105,0.5869,0.3642,1.0659,0.4258,0.2929,0.7112,0.6334,0.2061,0.6355,0.5303,1.6483,14.6261
260,NODE_261_length_7159_cov_4.758164,7159,1.6342,0.5343,0.3186,2.2437,0.4558,0.4673,0.6697,0.5648,0.2736,0.7336,2.3999,0.9867,9.9628
261,NODE_262_length_7131_cov_5.241379,7131,1.2962,0.4754,0.2146,0.9913,0.4623,0.2147,0.5276,0.3631,0.2318,0.3898,0.8621,0.8433,9.9791
262,NODE_263_length_7107_cov_5.110323,7107,1.437,0.413,0.3289,0.5001,0.5662,0.3614,0.7213,0.6739,0.3782,0.6925,2.2712,0.8062,9.5316
264,NODE_265_length_7063_cov_5.825057,7063,1.3033,0.2999,0.2183,0.5209,0.2572,0.2456,0.4535,0.3692,0.4516,0.5095,1.4215,0.6329,10.2601
265,NODE_266_length_7019_cov_6.105399,7019,1.6083,0.2792,0.2685,0.6461,0.475,0.1913,0.4778,0.3405,0.1252,0.8422,2.7364,1.1715,11.7458
267,NODE_268_length_6993_cov_5.216345,6993,1.483,0.3819,0.2103,1.1466,0.376,0.3155,0.8204,0.5235,0.2066,0.8165,2.1632,1.1074,9.728
268,NODE_269_length_6983_cov_6.049509,6983,1.4762,0.3018,0.2631,0.2406,0.6131,0.2656,0.372,0.4888,0.1124,0.5914,2.2685,0.6016,11.5958
269,NODE_270_length_6956_cov_5.775830,6956,1.6865,0.6885,0.3178,0.7091,0.5623,0.4024,0.5713,0.8011,0.2001,1.3526,3.0641,0.71,10.8587
270,NODE_271_length_6955_cov_6.242464,6955,1.5734,0.4939,0.1997,0.3546,0.4716,0.2273,0.4811,0.3893,0.3162,0.6163,3.0194,0.8942,11.4172
273,NODE_274_length_6879_cov_4.798359,6879,1.4692,0.4333,0.2354,0.7752,0.4611,0.143,0.6806,0.554,0.151,0.5659,3.1682,1.1208,9.3418
274,NODE_275_length_6849_cov_5.540477,6849,1.8119,0.7132,0.432,1.2791,0.9581,0.382,0.7492,0.7383,0.2753,1.2018,3.1581,1.5447,10.3105
280,NODE_281_length_6762_cov_6.135977,6762,1.6269,0.5278,0.1965,0.8955,0.4118,0.4173,0.7368,0.5591,0.2618,0.8462,2.3618,1.0018,11.3058
281,NODE_282_length_6759_cov_5.345913,6759,1.5161,0.6417,0.3094,0.4689,0.4632,0.2831,0.6046,0.5002,0.269,0.9588,2.2183,1.1257,10.3504
282,NODE_283_length_6752_cov_6.116171,6752,1.6948,0.5539,0.309,0.8023,0.6584,0.1184,0.6745,0.5317,0.4258,0.5559,2.743,1.4558,11.5089
283,NODE_284_length_6734_cov_5.435095,6734,1.4271,0.3587,0.2474,0.4145,0.4868,0.1584,0.44,0.4897,0.1845,0.4203,2.0939,1.0831,10.748
285,NODE_286_length_6721_cov_6.062106,6721,1.6279,0.5322,0.4724,0.7904,0.5123,0.3768,0.66,0.6967,0.3235,0.8603,0.9003,1.6326,11.7778
289,NODE_290_length_6657_cov_6.800969,6657,1.7927,0.53,0.4168,0.7092,0.8061,0.2754,0.7315,0.6485,0.1789,0.8105,2.958,1.1442,12.3034
291,NODE_292_length_6647_cov_5.272755,6647,1.3538,0.4539,0.2355,0.2281,0.5635,0.2475,0.5552,0.6303,0.2295,0.6201,0.8653,1.3141,10.3026
293,NODE_294_length_6642_cov_7.035373,6642,1.7195,0.5194,0.3452,0.9298,0.5333,0.146,0.5622,0.5849,0.165,0.756,2.7782,1.0628,12.2515
296,NODE_297_length_6614_cov_5.538192,6614,1.2237,0.1937,0.1646,0.5571,0.3694,0.1773,0.3171,0.2845,0.1716,0.2845,1.2959,0.3009,10.5682
297,NODE_298_length_6605_cov_6.262137,6605,1.6658,0.5061,0.255,0.4878,0.4889,0.1983,0.4204,0.3854,0.2014,0.8942,3.2548,0.9557,11.9408
298,NODE_299_length_6598_cov_6.080238,6598,1.5545,0.2215,0.2875,0.2714,0.4237,0.2013,0.6701,0.4657,0.0658,0.5613,3.1483,0.7658,11.5721
299,NODE_300_length_6588_cov_6.979948,6588,1.9561,0.5468,0.285,1.0407,0.5864,0.2888,0.7572,0.4652,0.2373,0.8062,4.4573,0.8271,13.1758
304,NODE_305_length_6557_cov_5.106429,6557,1.6573,0.5566,0.3905,0.4626,0.545,0.5271,0.565,0.5553,0.5029,0.9532,2.9315,1.1544,10.744
305,NODE_306_length_6533_cov_5.650509,6533,1.3872,0.3039,0.141,0.3371,0.4897,0.2945,0.353,0.4341,0.0965,0.5897,2.8253,0.6343,10.1471
306,NODE_307_length_6530_cov_6.190425,6530,1.61,0.4693,0.3378,0.6777,0.5433,0.3436,0.5194,0.4986,0.274,0.5425,2.469,1.0691,11.5759
307,NODE_308_length_6524_cov_5.981450,6524,1.618,0.6241,0.3748,0.441,0.6152,0.2397,0.3481,0.5814,0.2664,0.9907,2.5952,1.1062,11.2336
308,NODE_309_length_6515_cov_6.217492,6515,1.7071,0.5797,0.4405,1.4649,0.4456,0.4518,0.4881,0.474,0.3009,0.7383,1.8988,1.7595,11.4426
310,NODE_311_length_6506_cov_4.633700,6506,1.2966,0.6454,0.4368,0.3749,0.5514,0.3636,0.3992,0.4643,0.1498,0.5842,2.301,0.5039,8.7845
313,NODE_314_length_6475_cov_6.020093,6475,1.6678,0.4906,0.2457,0.5508,0.7651,0.3861,0.5189,0.4557,0.3638,0.7059,3.4454,0.9105,11.1749
319,NODE_320_length_6396_cov_5.361773,6396,1.3901,0.4978,0.3601,0.5069,0.3817,0.293,0.4907,0.5058,0.2102,0.8361,1.674,0.9017,10.0231
321,NODE_322_length_6329_cov_6.199713,6329,1.7271,0.6422,0.323,0.716,0.7972,0.2933,0.6386,0.6287,0.2631,0.804,3.0073,1.0123,11.5996
323,NODE_324_length_6306_cov_5.764518,6306,1.6753,0.6428,0.5093,0.5374,0.7118,0.3549,0.7144,0.6207,0.3752,0.9815,2.5931,1.0864,10.9766
326,NODE_327_length_6258_cov_5.108173,6258,1.398,0.336,0.3227,0.2083,0.4812,0.4062,0.4768,0.475,0.1907,0.6821,2.5899,0.7972,9.8101
327,NODE_328_length_6251_cov_5.516624,6251,1.3637,0.4491,0.2116,0.3749,0.3645,0.3258,0.395,0.5145,0.1518,0.7697,2.2427,0.7645,9.8002
329,NODE_330_length_6244_cov_6.079334,6244,1.6479,0.4744,0.317,1.2534,0.4157,0.2363,0.7125,0.4073,0.1753,0.8751,3.2115,0.8866,10.8101
332,NODE_333_length_6219_cov_7.002596,6219,1.7252,0.5154,0.3689,0.6207,0.7003,0.2,0.5498,0.5329,0.3231,1.0709,2.4503,1.2564,12.1142
333,NODE_334_length_6207_cov_5.108908,6207,1.4036,0.5311,0.3447,0.4481,0.5267,0.1549,0.4783,0.3708,0.1554,0.6277,2.6244,0.8405,9.7408
340,NODE_341_length_6145_cov_6.016420,6145,1.4792,0.3338,0.2525,0.5998,0.369,0.144,0.406,0.4085,0.1696,0.7378,2.2841,0.7448,11.3004
342,NODE_343_length_6136_cov_4.315244,6136,1.4598,0.5618,0.3495,0.6086,0.5322,0.218,0.6554,0.6096,0.1514,0.6966,3.1393,1.4233,8.5718
347,NODE_348_length_6103_cov_4.890046,6103,1.4822,0.6486,0.2925,0.3131,0.7,0.3168,0.76,0.5535,0.3892,0.7826,2.2327,1.0034,9.7935
356,NODE_357_length_5993_cov_5.868137,5993,1.5564,0.5222,0.2855,0.8901,0.4508,0.1759,0.6488,0.4544,0.279,0.9456,1.5682,1.005,11.4515
357,NODE_358_length_5981_cov_6.224772,5981,1.4,0.3128,0.2713,0.102,0.2936,0.1962,0.5193,0.386,0.0633,0.5978,1.7966,0.5419,11.7196
362,NODE_363_length_5958_cov_5.363883,5958,1.6023,0.3359,0.3557,0.4179,0.5565,0.23,0.5704,0.4075,0.6532,0.6884,3.1951,0.8829,10.9341
364,NODE_365_length_5924_cov_5.430227,5924,1.3756,0.6782,0.2122,0.4586,0.47,0.4794,0.5135,0.4652,0.209,0.4415,1.0598,0.9704,10.549
370,NODE_371_length_5879_cov_5.749657,5879,1.574,0.3257,0.3748,0.2306,0.5942,0.376,0.5224,0.4355,0.255,1.1356,3.0782,1.1281,10.4315
380,NODE_381_length_5800_cov_5.076414,5800,1.4448,0.4791,0.2896,0.2094,0.4239,0.3062,0.3651,0.5211,0.4312,0.883,1.9676,1.0655,10.3963
384,NODE_385_length_5771_cov_5.909027,5771,1.4367,0.469,0.2918,0.8732,0.5533,0.1749,0.6211,0.5232,0.285,0.56,0.8972,1.1448,10.8465
388,NODE_389_length_5720_cov_6.950221,5720,1.9359,0.6348,0.4059,1.4761,0.5248,0.3853,0.5993,0.4065,0.4803,0.9072,2.995,1.0377,13.3776
389,NODE_390_length_5719_cov_6.128001,5719,1.852,0.7105,0.3288,1.2871,0.4924,0.2433,0.6967,0.4342,0.2785,0.5694,3.3672,1.2851,12.531
390,NODE_391_length_5708_cov_6.145586,5708,1.4132,0.5529,0.2415,0.3929,0.235,0.1943,0.4385,0.3793,0.1321,0.6675,2.0326,0.4172,11.2746
391,NODE_392_length_5697_cov_6.832683,5697,1.8096,0.4826,0.3286,0.8729,0.3981,0.4345,0.6396,0.5253,0.1312,0.795,2.8471,1.0206,13.239
396,NODE_397_length_5647_cov_6.050966,5647,1.3972,0.3886,0.338,0.2605,0.4966,0.1013,0.4584,0.414,0.1359,0.9114,1.2636,1.0106,10.988
397,NODE_398_length_5639_cov_6.991404,5639,1.561,0.3447,0.3844,0.7909,0.3667,0.1862,0.548,0.4387,0.2736,0.9299,2.2073,0.4882,11.7732
402,NODE_403_length_5614_cov_5.649038,5614,1.5325,0.6065,0.2105,0.5655,0.4623,0.2101,0.4142,0.5247,0.2423,0.787,2.3816,1.0644,10.9213
405,NODE_406_length_5561_cov_4.887759,5561,1.5288,0.98,0.5188,0.3168,0.7099,0.3478,0.6855,0.6285,0.4252,0.5378,1.9192,1.1928,10.0828
406,NODE_407_length_5557_cov_6.068884,5557,1.5003,0.3137,0.3089,0.1944,0.6625,0.1761,0.3925,0.5095,0.1968,0.7912,2.1689,1.1178,11.1711
407,NODE_408_length_5543_cov_6.944424,5543,1.7772,0.3124,0.2778,0.3249,0.379,0.2529,0.4573,0.6097,0.1061,0.6193,3.8923,0.7964,13.2983
410,NODE_411_length_5509_cov_5.577558,5509,1.7447,0.8677,0.304,0.9123,0.5488,0.1463,0.5928,0.3881,0.1661,0.9093,3.5064,1.2504,11.3443
416,NODE_417_length_5475_cov_5.861439,5475,1.6837,0.7959,0.2565,0.252,0.6531,0.1459,0.6468,0.5621,0.1469,0.8672,4.3686,0.831,10.6789
420,NODE_421_length_5459_cov_6.641747,5459,1.7376,0.5952,0.3995,0.6365,0.58,0.2004,0.5792,0.4743,0.2123,0.5521,3.2607,0.6461,12.7144
425,NODE_426_length_5404_cov_4.517667,5404,1.2568,0.3388,0.3892,0.3574,0.434,0.3852,0.3807,0.4648,0.1233,0.7238,1.3502,0.9964,9.1382
426,NODE_427_length_5400_cov_4.678765,5400,1.6423,0.6794,0.3573,0.8065,0.8103,0.2914,0.7686,0.8082,0.796,0.7691,1.7118,2.2379,9.6716
435,NODE_436_length_5341_cov_5.207719,5341,1.5121,0.5149,0.2531,1.8305,0.5862,0.3456,0.4548,0.6569,0.2992,0.561,1.5155,1.357,9.7709
